filename,testDescription,Conformance,DELETE /api/v1/namespaces/{namespace}/pods,DELETE /api/v1/namespaces/{namespace}/pods/{name},DELETE /api/v1/namespaces/{namespace}/pods/{name}/proxy,DELETE /api/v1/namespaces/{namespace}/pods/{name}/proxy/{path},GET /api/v1/namespaces/{namespace}/pods,GET /api/v1/namespaces/{namespace}/pods/{name},GET /api/v1/namespaces/{namespace}/pods/{name}/log,GET /api/v1/namespaces/{namespace}/pods/{name}/portforward,GET /api/v1/namespaces/{namespace}/pods/{name}/proxy,GET /api/v1/namespaces/{namespace}/pods/{name}/proxy/{path},GET /api/v1/namespaces/{namespace}/pods/{name}/status,GET /api/v1/pods,GET /api/v1/watch/namespaces/{namespace}/pods,GET /api/v1/watch/namespaces/{namespace}/pods/{name},GET /api/v1/watch/pods,PATCH /api/v1/namespaces/{namespace}/pods/{name},PATCH /api/v1/namespaces/{namespace}/pods/{name}/status,POST /api/v1/namespaces/{namespace}/pods,POST /api/v1/namespaces/{namespace}/pods/{name}/eviction,POST /api/v1/namespaces/{namespace}/pods/{name}/portforward,POST /api/v1/namespaces/{namespace}/pods/{name}/proxy,POST /api/v1/namespaces/{namespace}/pods/{name}/proxy/{path},PUT /api/v1/namespaces/{namespace}/pods/{name},PUT /api/v1/namespaces/{namespace}/pods/{name}/proxy,PUT /api/v1/namespaces/{namespace}/pods/{name}/proxy/{path},PUT /api/v1/namespaces/{namespace}/pods/{name}/status
res_11.tmp,[sig-storage] EmptyDir volumes   should support (root0666tmpfs) [Conformance],Y,Y,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,Y
res_12.tmp,Jun  5 15:31:18.813: INFO: Running AfterSuite actions on all nodeJun  5 15:31:18.813: INFO: Running AfterSuite actions on node 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
res_10.tmp,[sig-storage] Subpath [Volume type: nfs]   should unmount if pod is force deleted while kubelet is down [Disruptive][Slow],,Y,Y,,,Y,Y,,,,,,Y,Y,,Y,,,Y,,,,,,,,Y
res_2.tmp,[sig-network] Services   should check NodePort out-of-range,,Y,,,,Y,Y,,,,,,,,,Y,,,,,,,,,,,
res_3.tmp,[k8s.io] EquivalenceCache [Serial]   validates pod anti-affinity works properly when new replica pod is scheduled,,Y,Y,,,Y,Y,,,,,,Y,Y,,Y,,,Y,,,,,,,,Y
res_4.tmp,[k8s.io] EquivalenceCache [Serial]   validates pod affinity works properly when new replica pod is scheduled,,Y,Y,,,Y,Y,,,,,,Y,Y,,Y,,,Y,,,,,,,,Y
res_5.tmp,[sig-cli] Kubectl Port forwarding [k8s.io] With a server listening on localhost [k8s.io] that expects a client request   should support a client that connects sends NO DATA and disconnects,,Y,Y,,,Y,Y,Y,,,,,,,,Y,,,Y,,Y,,,,,,Y
res_6.tmp,[sig-storage] PersistentVolumes-local  [Volume type: dir-bindmounted] Set fsGroup for local volume   should not set different fsGroups for two pods simultaneously,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
res_8.tmp,[k8s.io] Sysctls   should not launch unsafe but not explicitly enabled sysctls on the node,,Y,,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,Y
res_7.tmp,[k8s.io] PrivilegedPod   should enable privileged commands,,Y,Y,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,Y
resultWriter.go,Licensed under the Apache License Version 2.0 (the "License");,,,,,,,,,,,,,,,,,,,,,,,,,,,
res_9.tmp,[sig-scheduling] SchedulerPriorities [Serial]   Pod should be schedule to node that don't match the PodAntiAffinity terms,,Y,Y,,,Y,Y,,,,,,Y,Y,,Y,,,Y,,,,,,,,Y
